序號,綠色商店名稱,聯絡地址,商店編號,聯絡人,聯絡電話,分機,手機號碼,綠色商店類型,經度,緯度
1,7-11OPEN門市,111台北市士林區基河路128號,A000204,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523185205424,25.088648211718
2,7-11一德門市,112台北市北投區中央北路4段513號,A000208,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.468518852009,25.128137662601
3,7-11三德門市,103台北市大同區承德路3段53號,A000808,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51857323084,25.065181816493
4,7-11三樂門市,111台北市士林區劍潭路15號,A000291,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522926456073,25.084206347859
5,7-11三興門市,110台北市信義區吳興街156巷16弄1號,A000357,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.560965879616,25.028783276225
6,7-11上弘門市,105台北市松山區敦化北路168號B2,A000746,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.548241899138,25.056303537011
7,7-11千成門市,100台北市中正區林森南路4號之3,A000432,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523013376409,25.04410019845
8,7-11千翔門市,100台北市中正區公園路18號,A000787,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51707647439,25.045229282717
9,7-11士東門市,111台北市士林區士東路48號,A000529,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.52783682641,25.111873920593
10,7-11士陽門市,111台北市士林區中正路503號,A000597,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518001249767,25.09172726194
11,7-11士鑽門市,111台北市士林區文林路102號B1,A000512,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526315762441,25.087899540126
12,7-11大中門市,112台北市北投區中央南路一段114號,A000805,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501042731805,25.130515901898
13,7-11大台門市,106台北市大安區新生南路3段94巷3號,A000589,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.53299974349,25.017448051375
14,7-11大永博門市,100台北市中正區博愛路97號1樓,A000836,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.511606109101,25.043031841071
15,7-11大吉門市,104台北市中山區吉林路101號,A000880,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.530283923042,25.056187782928
