seqno,type,city,countycode,name,address,number,localcallservice
1,連鎖型綠色商店,新北市,65000," 台象股份有限公司-象印板橋服務中心",220新北市板橋區國光路52號1樓,F002166,02-2506-9009#217
2,連鎖型綠色商店,新北市,65000,7-11一級棒門市,242新北市新莊區中山路3段488.490號,F000941,02-27478711#3961
3,連鎖型綠色商店,新北市,65000,7-11一新門市,235新北市中和區福祥里27鄰永和路56.58號1樓.,F000520,02-27478711#3961
4,連鎖型綠色商店,新北市,65000,7-11九份門市,224新北市瑞芳區基山街3號,F000987,02-27478711#3961
5,連鎖型綠色商店,新北市,65000,7-11九芎門市,247新北市蘆洲區中山二路272號.,F001342,02-27478711#3961
6,連鎖型綠色商店,新北市,65000,7-11二橋門市,239新北市鶯歌區中正三路93號,F001627,02-27478711#3961
7,連鎖型綠色商店,新北市,65000,7-11八仙門市,249新北市八里區中華路二段306號,F001375,02-27478711#3961
8,連鎖型綠色商店,新北市,65000,7-11八里門市,249新北市八里區中山路二段341號,F001230,02-27478711#3961
9,連鎖型綠色商店,新北市,65000,7-11十八甲門市,243新北市泰山區福興一街87號,F001034,02-27478711#3961
10,連鎖型綠色商店,新北市,65000,7-11三爪坑門市,224新北市瑞芳區三爪子坑路15、17號,F000980,02-27478711#3961
11,連鎖型綠色商店,新北市,65000,7-11三好門市,241新北市三重區溪美里仁愛街367號,F000569,02-27478711#3961
12,連鎖型綠色商店,新北市,65000,7-11三安門市,241新北市三重區正義北路235號,F001652,02-27478711#3961
13,連鎖型綠色商店,新北市,65000,7-11三洋門市,242新北市新莊區中正路612-1號,F001485,02-27478711#3961
14,連鎖型綠色商店,新北市,65000,7-11三重門市,241新北市三重區重新路3段18號,F001420,02-27478711#3961
15,連鎖型綠色商店,新北市,65000,7-11三暉門市,238新北市樹林區樹福里復興路1號,F001182,02-27478711#3961
16,連鎖型綠色商店,新北市,65000,7-11三靖門市,239新北市鶯歌區三鶯路52號一樓,F001534,02-27478711#3961
