序號,綠色商店名稱,聯絡地址,商店編號,聯絡人,聯絡電話,分機,手機號碼,綠色商店類型
1,7-11OPEN門市,111台北市士林區基河路128號,A000204,廖培雁,(02)27478711,3961,,連鎖型綠色商店
2,7-11一德門市,112台北市北投區中央北路4段513號,A000208,廖培雁,(02)27478711,3961,,連鎖型綠色商店
3,7-11三德門市,103台北市大同區承德路3段53號,A000808,廖培雁,(02)27478711,3961,,連鎖型綠色商店
4,7-11三樂門市,111台北市士林區劍潭路15號,A000291,廖培雁,(02)27478711,3961,,連鎖型綠色商店
5,7-11三興門市,110台北市信義區吳興街156巷16弄1號,A000357,廖培雁,(02)27478711,3961,,連鎖型綠色商店
6,7-11上弘門市,105台北市松山區敦化北路168號B2,A000746,廖培雁,(02)27478711,3961,,連鎖型綠色商店
7,7-11千成門市,100台北市中正區林森南路4號之3,A000432,廖培雁,(02)27478711,3961,,連鎖型綠色商店
8,7-11千翔門市,100台北市中正區公園路18號,A000787,廖培雁,(02)27478711,3961,,連鎖型綠色商店
9,7-11士東門市,111台北市士林區士東路48號,A000529,廖培雁,(02)27478711,3961,,連鎖型綠色商店
10,7-11士陽門市,111台北市士林區中正路503號,A000597,廖培雁,(02)27478711,3961,,連鎖型綠色商店
11,7-11士鑽門市,111台北市士林區文林路102號B1,A000512,廖培雁,(02)27478711,3961,,連鎖型綠色商店
12,7-11大中門市,112台北市北投區中央南路一段114號,A000805,廖培雁,(02)27478711,3961,,連鎖型綠色商店
13,7-11大台門市,106台北市大安區新生南路3段94巷3號,A000589,廖培雁,(02)27478711,3961,,連鎖型綠色商店
14,7-11大永博門市,100台北市中正區博愛路97號1樓,A000836,廖培雁,(02)27478711,3961,,連鎖型綠色商店
15,7-11大吉門市,104台北市中山區吉林路101號,A000880,廖培雁,(02)27478711,3961,,連鎖型綠色商店
16,7-11大安門市,106台北市大安區忠孝東路四段77號(捷運地下街5號店鋪),A000401,廖培雁,(02)27478711,3961,,連鎖型綠色商店
17,7-11大昇門市,105台北市松山區南京東路5段104號,A000198,廖培雁,(02)27478711,3961,,連鎖型綠色商店
18,7-11大信門市,106台北市大安區信義路三段33號,A000344,廖培雁,(02)27478711,3961,,連鎖型綠色商店
19,7-11大埔門市,108台北市萬華區中華路2段34號,A000209,廖培雁,(02)27478711,3961,,連鎖型綠色商店
20,7-11大眾門市,114台北市內湖區陽光街298號,A000313,廖培雁,(02)27478711,3961,,連鎖型綠色商店
21,7-11大敦門市,106台北市大安區敦化南路2段63巷24號,A000462,廖培雁,(02)27478711,3961,,連鎖型綠色商店
22,7-11大華門市,108台北市萬華區萬大路495.497號,A000230,廖培雁,(02)27478711,3961,,連鎖型綠色商店
23,7-11大葉門市,111台北市士林區德行東路109巷81號,A000280,廖培雁,(02)27478711,3961,,連鎖型綠色商店
24,7-11大運門市,105台北市中山區大直街11號,A000613,廖培雁,(02)27478711,3961,,連鎖型綠色商店
25,7-11大潤發門市,114台北市內湖區舊宗路128號,A000800,廖培雁,(02)27478711,3961,,連鎖型綠色商店
26,7-11大龍門市,103台北市大同區昌吉街72.74.76號,A000570,廖培雁,(02)27478711,3961,,連鎖型綠色商店
27,7-11小巨蛋門市,105台北市松山區南京東路4段2號1樓第10櫃位,A000429,廖培雁,(02)27478711,3961,,連鎖型綠色商店
28,7-11小福樓門市,106台北市大安區羅斯福路4段1號2樓(台灣大學小福樓),A000470,廖培雁,(02)27478711,3961,,連鎖型綠色商店
29,7-11中坡門市,115台北市南港區中坡南路15號,A000308,廖培雁,(02)27478711,3961,,連鎖型綠色商店
30,7-11中航門市,100台北市中正區林森南路12號,A000262,廖培雁,(02)27478711,3961,,連鎖型綠色商店
31,7-11中崙門市,105台北市松山區八德路3段27號,A000582,廖培雁,(02)27478711,3961,,連鎖型綠色商店
32,7-11中陽門市,112台北市北投區中央北路3段2號,A000258,廖培雁,(02)27478711,3961,,連鎖型綠色商店
33,7-11中愛門市,100台北市中正區愛國東路102號,A000535,廖培雁,(02)27478711,3961,,連鎖型綠色商店
34,7-11中寧門市,108台北市萬華區中華路2段6(02)1-2號一樓,A000615,廖培雁,(02)27478711,3961,,連鎖型綠色商店
35,7-11中福門市,104台北市中山區民生東路2段113號.,A000214,廖培雁,(02)27478711,3961,,連鎖型綠色商店
36,7-11中廣門市,106台北市大安區仁愛路三段25-1.27號,A000755,廖培雁,(02)27478711,3961,,連鎖型綠色商店
37,7-11中影門市,111台北市士林區至善路二段34號,A000446,廖培雁,(02)27478711,3961,,連鎖型綠色商店
38,7-11中樂門市,100台北市中正區延平南路47號,A000195,廖培雁,(02)27478711,3961,,連鎖型綠色商店
39,7-11中興門市,110台北市信義區基隆路2段22號,A000847,廖培雁,(02)27478711,3961,,連鎖型綠色商店
40,7-11中興醫門市,103台北市大同區鄭州路145號B1,A000645,廖培雁,(02)27478711,3961,,連鎖型綠色商店
41,7-11中錦門市,104台北市中山區中山北路二段98號,A000483,廖培雁,(02)27478711,3961,,連鎖型綠色商店
42,7-11丹陽門市,100台北市中正區杭州南路一段83號,A000890,廖培雁,(02)27478711,3961,,連鎖型綠色商店
43,7-11丹樺門市,111台北市士林區文林路530號,A000320,廖培雁,(02)27478711,3961,,連鎖型綠色商店
44,7-11仁安門市,106台北市大安區仁愛路四段27巷1號,A000789,廖培雁,(02)27478711,3961,,連鎖型綠色商店
45,7-11仁和門市,110台北市信義區正和里光復南路419巷41號,A000525,廖培雁,(02)27478711,3961,,連鎖型綠色商店
46,7-11仁金門市,100台北市中正區仁愛路二段39.39-1號,A000855,廖培雁,(02)27478711,3961,,連鎖型綠色商店
47,7-11元大門市,104台北市中山區復興北路148號,A000788,廖培雁,(02)27478711,3961,,連鎖型綠色商店
48,7-11六福門市,108台北市萬華區漢口街二段56號,A000279,廖培雁,(02)27478711,3961,,連鎖型綠色商店
49,7-11公館門市,112台北市北投區公館路31號,A000436,廖培雁,(02)27478711,3961,,連鎖型綠色商店
50,7-11友成門市,111台北市士林區社中街214號,A000619,廖培雁,(02)27478711,3961,,連鎖型綠色商店
51,7-11天北門市,111台北市士林區天母北路12號,A000865,廖培雁,(02)27478711,3961,,連鎖型綠色商店
52,7-11天成門市,111台北市士林區忠誠路二段168號1樓,A000840,廖培雁,(02)27478711,3961,,連鎖型綠色商店
53,7-11天東門市,111台北市士林區中山北路7段14巷2-1號,A000196,廖培雁,(02)27478711,3961,,連鎖型綠色商店
