year,city,incineration_tons,sanitary_tons,daily_municipal_waste_kgs,daily_food_waste_kgs,municipal_waste_disposal_rate,municipal_waste_recycling_rate
114,taipei,309675,0,1.158,0.049,100,70.80
114,new_taipei,656084,5923,1.328,0.070,100.00,66.32
113,taipei,294274,0,1.086,0.052,100.00,70.27
113,new_taipei,674677,6293,1.274,0.071,100.00,63.56
112,taipei,208756,0,0.841,0.056,100.00,72.83
112,new_taipei,918432,5781,1.424,0.075,100.00,55.55
111,taipei,208452,0,0.812,0.061,100.00,72.55
111,new_taipei,502819,6059,1.067,0.081,100.00,67.50
110,taipei,225475,0,0.814,0.064,100.00,71.16
110,new_taipei,530031,6820,1.044,0.086,100.00,65.10
109,taipei,246461,0,0.823,0.064,100.00,69.11
109,new_taipei,613403,7633,1.034,0.085,100.00,58.96
108,taipei,210570,0,0.768,0.070,100.00,71.93
108,new_taipei,640559,7371,1.056,0.087,100.00,57.86
107,taipei,205932,0,0.769,-,100.00,72.73
107,new_taipei,434229,1742,0.797,-,100.00,62.37
106,taipei,244574,0,0.793,-,100.00,68.78
106,new_taipei,341979,0,0.681,-,100.00,65.46
105,taipei,282756,0,0.869,-,100.00,67.02
105,new_taipei,336230,7030,0.649,-,100.00,63.49
